File,DER,JER,B3-Precision,B3-Recall,B3-F1,"GKT(ref, sys)","GKT(sys, ref)",H(ref|sys),H(sys|ref),MI,NMI
B044,39.61194744156509,51.44937364574908,0.5081457030443242,0.6184171097107214,0.5578845554471921,0.18743843580464184,0.13222323623056464,1.2870429703060595,0.8365281922813188,0.16551503382982435,0.13719158605575046
B046,40.572662026911956,55.97807541970652,0.5027021518994162,0.6738457271472658,0.5758264548649398,0.13017802485677052,0.12014247078978822,1.2368568591863387,0.7945189087719124,0.1339104765560794,0.11870205653716856
B047,38.34502832058112,49.98080748147087,0.5687375439187343,0.5982959773246758,0.5831424350477136,0.2186578795615972,0.17939632753830426,1.1308512759031588,0.9362338668219241,0.21825748481642562,0.17488409860695384
M016,16.636048933286702,22.205256384209488,0.7510950389077827,0.7869085771446517,0.7685848358202819,0.5872750557289682,0.533481578276174,0.743751990530502,0.6359744959645371,0.5593025737749628,0.448158071787913
M018,45.32513422392624,80.21901119563938,0.43894429471923635,0.6873712176528982,0.5357604881202536,0.13983236548278782,0.10244234473623673,1.4465108844446855,0.8121010273044472,0.1590887244596214,0.12739979449058061
M019,35.566067513662844,61.086022860189516,0.46269026525109025,0.8776963289736939,0.6059468947428804,0.018796127473879314,0.0061483095299342235,1.377258896106954,0.3761712793842701,0.01826318701962081,0.02461618692478753
M020,54.261894213563636,87.8724643090802,0.5970938918028482,0.4149830508321586,0.4896541644521052,0.0809834518851284,0.045317515397096365,1.08229280451515,1.4001614168791388,0.11819609931721729,0.08754614907317709
M022,41.85494855270916,59.038905780912614,0.5124996862093406,0.6323180231493793,0.5661386713350097,0.09252022051206187,0.11551061238310666,1.2632705533014037,0.8855726590042372,0.149615828074106,0.12371267693905919
M023,38.20063170739287,69.26645946640794,0.48650086270889564,0.5790713452271878,0.5287651215466499,0.10219980322946061,0.08102783852516841,1.3814322334145748,1.003176971252107,0.13887930749471009,0.1053968164940706
M026,66.30452013110667,65.12527487553056,0.3598228389866636,0.7285088495893172,0.4817173390019063,0.10680775887439135,0.08041840116071267,1.6753684753798008,0.7086386000906998,0.1335511070261305,0.1082014043460315
M027,43.51754373164167,65.82326750642336,0.43355494168732345,0.7551127103380745,0.5508400039996808,0.10954182731901338,0.016343422709593592,1.4174386037173843,0.6946349425458523,0.07064717528368156,0.06620183630921954
M028,34.02786572986719,62.20792715440041,0.47443792851870026,0.9120809571082302,0.6241902716472848,0.308865783591695,0.05674545608044146,1.40120247374731,0.2429819974353264,0.11643339713047315,0.1576505317306258
M029,25.677586294556264,51.644464206648436,0.5787908352528225,0.8422039223038575,0.6860826319748183,0.2591868421812491,0.13637029703754966,1.16399855684684,0.4444034691843627,0.1898414569586765,0.2048702439225675
M030,44.455127092159174,68.02655064032837,0.4186760766522862,0.8275809458666106,0.5560463648618948,0.19216278113942042,0.030079034596218635,1.4766696356994262,0.4456112632668622,0.08796571432155731,0.09627384638468678
M031,43.905831188374464,68.3235813475583,0.4370004785336352,0.8148558534642506,0.5689029783977042,0.27679762778552375,0.06736631646616986,1.4528588464751904,0.46786167772939796,0.14377577859369495,0.14549092992596546
M032,45.001552269214756,63.5583488766626,0.7062121672282275,0.4454105450215886,0.5462802061127938,0.2123595070752488,0.4427551880839615,0.8293918028695787,1.4118932830907307,0.4358091371216157,0.28503655773326303
M033,42.30154481555282,56.89054148890193,0.46475101759164716,0.5912510070659499,0.5204242051999546,0.12313748583426826,0.09267544331223125,1.3320460578055775,1.0377168692753898,0.1392630207261006,0.10582769390713731
M037,68.65519207164783,65.27680488335034,0.30174930851249476,0.5188009125447405,0.3815679104060765,0.03596690243031809,0.015582669803915357,1.8416132327440518,1.0821874078338027,0.029000978912805855,0.02011530842141831
M038,19.11303380710162,25.443482691845652,0.6893458247622294,0.80190015976339,0.7413753770272913,0.6040047184395246,0.4778010466163719,0.8759786051926487,0.5044230076819418,0.6115356239859736,0.47464307503760556
M039,36.77602116453399,46.25661089759326,0.4850959815846925,0.541243555094908,0.511633946178411,0.2245090514269411,0.17931005240188644,1.3478204246366363,1.128628718178645,0.26896098429077014,0.17892613717357947
M040,34.53222523046655,45.52824185836788,0.5480133288848563,0.5798876319606187,0.5635000990365012,0.22639026427816517,0.2177407731331982,1.171999630662609,1.049221995310071,0.2506862176736745,0.18434001062446437
M043,41.55120688379292,45.07312780100348,0.5091704921765668,0.5749605586573387,0.5400693032608698,0.22185715513313395,0.20330023078784654,1.3183036014085874,1.170006409098067,0.235338109641342,0.15926686166151824
*** OVERALL ***,39.88348802278587,59.60421210937442,0.5150144749985146,0.6441819305740019,0.5724017382787594,0.637984746759097,0.5083189880087865,1.2604643568999156,0.8758948327816198,5.257716059250326,0.8315259923890778
